X,Y,FID,Rotation,Direction,Volume,Label,Year,Neighbourh
-13733390.5283718,6176546.96071639,250,90.3987733964,Left,2460,2460(90),1990,James Bay
-13732659.3164182,6176673.12307845,251,57.1272715413,Left,2740,2740(90),1990,Fairfield
-13732515.5644211,6176724.52598744,252,56.5065649082,Right,2230,2230(90),1990,Fairfield
-13732486.2942283,6177024.44208896,253,329.1798031124,Right,2140,2140(90),1990,Fairfield
-13732354.8489236,6177144.30343414,254,81.8651010184,Right,2410,2410(15),2015,Fairfield
-13732690.5238523,6177338.15649394,255,96.0136574746,Right,8140,8140(90),1990,Fairfield
-13732745.1013109,6177185.65765442,256,315.0199620308,Right,1440,1440(89),1989,Downtown
-13732594.2179051,6177153.13584255,257,330.108895254,Left,1800,1800(90),1990,Fairfield
-13732437.3958961,6177004.45617114,258,81.7279387244,Left,3265,3265(15),2015,Fairfield
-13732708.7371983,6177214.88398971,259,94.292662394,Left,6800,6800(90),1990,Downtown
-13732800.4197822,6177339.08172722,260,310.3842332744,Left,720,720(89),1989,Downtown
-13733057.9647798,6177079.87110655,261,345.1392477079,Left,6230,6230(90),1990,Downtown
-13733285.4532874,6177148.06045631,262,343.9200988526,Left,10760,10760(90),1990,Downtown
-13733557.3763063,6177199.1978139,263,353.5830674111,Left,8149,8149(14),2014,James Bay
-13733396.4471436,6177094.19702749,264,354.1781820527,Right,7421,7421(14),2014,James Bay
-13733441.7373257,6176676.60963003,265,6.0382326976,Right,5310,5310(92),1992,James Bay
-13733615.7400886,6176735.60859372,266,5.7373834356,Left,4340,4340(92),1992,James Bay
-13733619.3652792,6176553.3105801,267,5.1527461225,Both,1130,1130(92),1992,James Bay
-13734137.7798223,6176426.85447885,268,323.3049484408,Both,3080,3080(92),1992,James Bay
-13734300.2816197,6176543.42927152,269,323.8938801581,Both,1940,1940(82),1982,James Bay
-13733911.7661279,6176736.95089951,270,329.9127775896,Right,2238,2238(05),2005,James Bay
-13734012.1672639,6176877.99486107,271,329.5688790581,Left,1451,1451(05),2005,James Bay
-13733789.03172,6176725.52919006,272,69.2836083564,Left,3770,3770(90),1990,James Bay
-13733656.289831,6176860.14810484,273,71.1197837396,Right,2770,2770(90),1990,James Bay
-13733694.4191173,6177147.54455106,274,339.6900650222,Right,4531,4531(16),2016,James Bay
